time1,Diode,time2,PCD3_B,time3,PCD1,time4,PCD2,time5,PCD3,time6,PCD1_B,time7,PCD2_B,,,,,,
-3.92E-06,-0.012,-3.92E-06,-0.00399992,-7.58E-07,-0.00399992,-7.58E-07,-0.0135999,-7.58E-07,0.0128001,-7.58E-07,0.00199986,-7.58E-07,0.0259999,0.004640008,,,,,
-3.92E-06,0.004,-3.92E-06,-0.00239992,-7.58E-07,0.00400008,-7.58E-07,-0.00799992,-7.58E-07,0.0104001,-7.58E-07,0.0139999,-7.58E-07,0.00999986,0.006080004,,,,,
-3.92E-06,-0.004,-3.92E-06,-0.00239992,-7.58E-07,-0.00479992,-7.58E-07,-0.00159992,-7.58E-07,0.00720008,-7.58E-07,0.00999986,-7.58E-07,0.00999986,0.004159992,,,,,
-3.92E-06,0,-3.92E-06,7.80E-08,-7.57E-07,-0.00879992,-7.57E-07,-0.0159999,-7.57E-07,0.00720008,-7.57E-07,0.00399986,-7.57E-07,0.00799986,-0.001120004,,,,,
-3.91E-06,0,-3.91E-06,-0.00479992,-7.57E-07,0.00480008,-7.57E-07,-0.00559992,-7.57E-07,0.0144001,-7.57E-07,0.0119999,-7.57E-07,0.00999986,0.007120004,,,,,
-3.91E-06,0.004,-3.91E-06,-0.00479992,-7.56E-07,-0.00159992,-7.56E-07,-0.00959992,-7.56E-07,0.0128001,-7.56E-07,0.00999986,-7.56E-07,0.0159999,0.005520004,,,,,
-3.91E-06,0,-3.91E-06,-0.00399992,-7.56E-07,0.00640008,-7.56E-07,-0.00719992,-7.56E-07,0.0112001,-7.56E-07,0.0139999,-7.56E-07,0.0139999,0.007680012,,,,,
-3.91E-06,0.004,-3.91E-06,-0.00559992,-7.56E-07,0.00480008,-7.56E-07,-0.00879992,-7.56E-07,0.0160001,-7.56E-07,0.00799986,-7.56E-07,0.0119999,0.006400004,,,,,
-3.91E-06,0.012,-3.91E-06,-0.00159992,-7.55E-07,-0.00239992,-7.55E-07,-0.00879992,-7.55E-07,0.0184001,-7.55E-07,0.00999986,-7.55E-07,0.0239999,0.008240004,,,,,
-3.91E-06,0,-3.91E-06,-0.00479992,-7.55E-07,-0.00319992,-7.55E-07,-0.00719992,-7.55E-07,0.00880008,-7.55E-07,0.0199999,-7.55E-07,0.0199999,0.007680008,,,,,
-3.91E-06,0.012,-3.91E-06,-0.00399992,-7.54E-07,-0.00159992,-7.54E-07,-0.00719992,-7.54E-07,0.0160001,-7.54E-07,0.00599986,-7.54E-07,0.00799986,0.004239996,,,,,
-3.91E-06,0.004,-3.91E-06,0.00240008,-7.54E-07,0.00480008,-7.54E-07,0.00560008,-7.54E-07,0.0168001,-7.54E-07,0.00999986,-7.54E-07,0.0179999,0.011040004,,,,,
-3.91E-06,0.012,-3.91E-06,0.00320008,-7.54E-07,0.00560008,-7.54E-07,-0.00639992,-7.54E-07,0.0184001,-7.54E-07,0.0119999,-7.54E-07,0.0219999,0.010320012,,,,,
-3.91E-06,0.004,-3.91E-06,0.00320008,-7.53E-07,-0.00479992,-7.53E-07,-0.00639992,-7.53E-07,0.0224001,-7.53E-07,0.0219999,-7.53E-07,0.0119999,0.009040012,,,,,
-3.91E-06,0.012,-3.91E-06,-0.000799922,-7.53E-07,0.00160008,-7.53E-07,-0.00479992,-7.53E-07,0.0144001,-7.53E-07,0.0119999,-7.53E-07,0.00599986,0.005840004,,,,,
-3.91E-06,0,-3.91E-06,-0.00479992,-7.52E-07,0.00480008,-7.52E-07,-0.00399992,-7.52E-07,0.00800008,-7.52E-07,-1.42E-07,-7.52E-07,0.0219999,0.00616,,,,,
-3.91E-06,-0.012,-3.91E-06,-0.000799922,-7.52E-07,0.000800078,-7.52E-07,-0.00559992,-7.52E-07,0.00480008,-7.52E-07,0.00999986,-7.52E-07,0.0179999,0.0056,,,,,
-3.90E-06,0.008,-3.90E-06,-0.000799922,-7.52E-07,-0.000799922,-7.52E-07,-0.00159992,-7.52E-07,0.0112001,-7.52E-07,0.0139999,-7.52E-07,0.00999986,0.006560004,,,,,
-3.90E-06,0.016,-3.90E-06,-0.00159992,-7.51E-07,0.00240008,-7.51E-07,-0.000799922,-7.51E-07,0.0136001,-7.51E-07,0.00599986,-7.51E-07,0.00999986,0.006239996,,,,,
-3.90E-06,0.004,-3.90E-06,0.00240008,-7.51E-07,0.00160008,-7.51E-07,-0.00319992,-7.51E-07,0.0152001,-7.51E-07,0.00199986,-7.51E-07,0.0139999,0.005920004,,,,,
